timestamp,markers,ids,x,y
1786872316.872,0,,,
1786872319.483,0,,,
1786872322.228,0,,,
1786872324.890,0,,,
1786872327.587,0,,,
1786872330.184,0,,,
1786872332.793,0,,,
1786872335.423,0,,,
1786872338.059,0,,,
1786872340.676,0,,,
1786872343.253,0,,,
1786872345.940,0,,,
1786872348.617,0,,,
1786872351.245,0,,,
1786872353.882,0,,,
1786872356.516,0,,,
1786872359.114,0,,,
1786872361.754,0,,,
1786872364.392,0,,,
1786872366.991,0,,,
1786872369.603,0,,,
1786872372.230,0,,,
1786872374.862,0,,,
1786872377.510,0,,,
1786872380.140,0,,,
1786872382.782,0,,,
1786872385.430,0,,,
1786872388.077,0,,,
1786872390.749,0,,,
1786872393.391,0,,,
1786872396.037,0,,,
1786872398.710,0,,,
1786872401.379,0,,,
1786872404.112,0,,,
1786872406.742,0,,,
1786872409.408,0,,,
1786872412.101,0,,,
1786872414.782,0,,,
1786872417.462,0,,,
1786872420.137,0,,,
1786872425.543,0,,,
1786872425.589,0,,,
1786872428.121,0,,,
1786872430.791,0,,,
1786872433.471,0,,,
1786872436.162,0,,,
1786872438.884,0,,,
1786872441.958,0,,,
1786872444.181,0,,,
1786872446.917,0,,,
1786872449.510,0,,,
1786872452.169,0,,,
1786872454.838,0,,,
1786872457.504,0,,,
1786872460.191,0,,,
1786872462.971,0,,,
1786872465.646,0,,,
1786872468.421,0,,,
1786872471.035,0,,,
1786872473.700,0,,,
1786872476.367,0,,,
1786872479.048,0,,,
1786872481.729,0,,,
1786872484.419,0,,,
1786872487.117,0,,,
1786872489.815,0,,,
1786872492.540,0,,,
1786872495.227,0,,,
1786872497.932,0,,,
1786872500.641,0,,,
1786872503.358,0,,,
1786872506.052,0,,,
1786872508.775,0,,,
1786872511.517,0,,,
1786872514.255,0,,,
1786872516.972,0,,,
1786872519.771,0,,,
1786872522.519,0,,,
1786872525.260,0,,,
1786872528.023,0,,,
1786872530.754,0,,,
1786872533.484,0,,,
1786872536.314,0,,,
1786872538.986,0,,,
1786872541.770,0,,,
1786872544.739,0,,,
1786872547.512,0,,,
1786872550.281,0,,,
1786872553.018,0,,,
1786872555.753,0,,,
1786872558.464,0,,,
1786872561.179,0,,,
1786872563.888,0,,,
1786872566.605,0,,,
1786872569.389,0,,,
1786872572.053,0,,,
1786872574.770,0,,,
1786872577.513,0,,,
1786872580.257,0,,,
1786872582.992,0,,,
1786872585.725,0,,,
1786872588.440,0,,,
1786872591.161,0,,,
1786872593.901,0,,,
1786872596.623,0,,,
1786872599.380,0,,,
1786872602.162,0,,,
