timestamp,markers,ids,x,y,detect_ms,src
1786883402.184,0,,,,2150.3,tcp
1786883403.670,0,,,,1476.0,tcp
1786883405.326,0,,,,1640.4,tcp
1786883406.876,1,7,,,1509.7,tcp
1786883408.719,7,0|1|3|4|5|6|7,897.4,551.0,1831.2,tcp
1786883410.922,4,0|3|4|7,48.3,-2468.7,2186.2,tcp
1786883413.240,2,5|7,,,2290.7,tcp
1786883415.367,3,4|6|7,,,2104.8,tcp
1786883417.410,3,3|4|7,,,2024.1,tcp
1786883419.239,3,0|4|7,,,1809.2,tcp
1786883421.190,3,0|4|7,,,1933.1,tcp
1786883423.006,0,,,,1796.6,tcp
1786883424.808,0,,,,1783.9,tcp
1786883426.612,2,0|4,,,1785.6,tcp
1786883428.922,4,0|3|4|7,48.0,-1942.6,2271.5,tcp
1786883431.431,4,0|1|4|7,1016.1,525.1,2484.4,tcp
1786883434.061,6,0|1|3|4|5|7,1006.9,519.6,2601.4,tcp
1786883436.270,3,1|4|6,,,2190.6,tcp
1786883438.183,4,1|3|4|7,1187.2,554.8,1880.5,tcp
1786883440.152,4,1|2|4|5,1679.7,-1422.1,1948.2,tcp
1786883442.421,3,0|4|7,,,2233.7,tcp
1786883444.764,6,1|2|4|5|6|7,776.5,640.2,2313.9,tcp
1786883446.578,0,,,,1797.4,tcp
1786883448.017,0,,,,1418.4,tcp
1786883449.260,0,,,,1231.1,tcp
1786883450.562,0,,,,1292.7,tcp
1786883452.206,0,,,,1618.4,tcp
1786883453.933,0,,,,1709.5,tcp
1786883455.519,0,,,,1564.5,tcp
1786883457.380,0,,,,1848.7,tcp
1786883458.982,0,,,,1577.1,tcp
1786883460.446,0,,,,1438.9,tcp
1786883462.270,0,,,,1812.6,tcp
1786883463.725,0,,,,1436.7,tcp
1786883464.951,0,,,,1216.5,tcp
1786883466.171,0,,,,1211.2,tcp
1786883467.259,0,,,,1079.2,tcp
1786883468.252,0,,,,984.9,tcp
1786883469.254,0,,,,996.7,tcp
1786883470.246,0,,,,983.8,tcp
1786883471.302,0,,,,1049.7,tcp
1786883472.355,0,,,,1044.4,tcp
1786883473.406,0,,,,1044.9,tcp
1786883474.449,0,,,,1035.4,tcp
1786883475.474,0,,,,1018.8,tcp
1786883476.508,0,,,,1027.9,tcp
1786883477.525,0,,,,1010.0,tcp
1786883478.559,0,,,,1026.6,tcp
1786883479.581,0,,,,1014.8,tcp
1786883480.589,0,,,,1001.6,tcp
1786883481.596,0,,,,1001.1,tcp
1786883482.633,0,,,,1028.4,tcp
1786883483.622,0,,,,982.8,tcp
1786883484.616,0,,,,987.7,tcp
1786883485.625,0,,,,1002.4,tcp
1786883486.620,0,,,,988.6,tcp
1786883487.611,0,,,,983.8,tcp
1786883488.600,0,,,,983.4,tcp
1786883489.598,0,,,,991.2,tcp
1786883490.687,0,,,,1082.0,tcp
1786883491.684,0,,,,986.9,tcp
1786883492.683,0,,,,993.2,tcp
1786883493.672,0,,,,982.4,tcp
1786883494.630,0,,,,950.8,tcp
1786883495.538,0,,,,901.6,tcp
