timestamp,markers,ids,x,y,detect_ms,src
1786881137.861,0,,,,644.6,tcp
1786881141.025,0,,,,602.7,tcp
1786881144.069,0,,,,605.9,tcp
1786881147.133,0,,,,613.6,tcp
1786881150.197,0,,,,618.4,tcp
1786881153.255,0,,,,603.0,tcp
1786881156.290,0,,,,616.1,tcp
1786881159.332,0,,,,608.6,tcp
1786881162.379,0,,,,605.9,tcp
1786881165.400,0,,,,602.2,tcp
1786881168.415,0,,,,596.3,tcp
1786881171.474,0,,,,612.0,tcp
1786881174.515,0,,,,602.9,tcp
1786881177.537,0,,,,606.1,tcp
1786881180.586,0,,,,597.6,tcp
1786881183.584,0,,,,595.7,tcp
1786881186.599,0,,,,603.5,tcp
1786881189.628,0,,,,598.8,tcp
1786881192.691,0,,,,623.3,tcp
1786881195.699,0,,,,599.7,tcp
1786881198.731,0,,,,604.4,tcp
1786881201.744,0,,,,597.1,tcp
1786881204.760,0,,,,593.8,tcp
1786881207.772,0,,,,596.8,tcp
1786881210.802,0,,,,609.0,tcp
1786881213.873,0,,,,609.6,tcp
1786881216.924,0,,,,601.9,tcp
1786881219.989,0,,,,606.4,tcp
1786881223.082,0,,,,603.4,tcp
1786881226.162,0,,,,606.4,tcp
1786881229.247,0,,,,613.8,tcp
1786881232.339,0,,,,620.9,tcp
1786881235.431,0,,,,611.6,tcp
1786881238.529,0,,,,623.6,tcp
1786881241.654,0,,,,620.8,tcp
1786881244.836,0,,,,633.6,tcp
1786881247.998,0,,,,626.3,tcp
1786881251.170,0,,,,640.2,tcp
1786881254.367,0,,,,639.6,tcp
1786881257.553,0,,,,632.1,tcp
1786881260.755,0,,,,636.0,tcp
1786881264.051,0,,,,658.5,tcp
1786881267.370,0,,,,697.1,tcp
1786881270.724,0,,,,671.9,tcp
1786881274.079,0,,,,666.6,tcp
1786881277.437,0,,,,662.1,tcp
1786881280.944,0,,,,729.5,tcp
1786881284.367,0,,,,673.4,tcp
1786881287.793,0,,,,679.4,tcp
1786881291.293,0,,,,717.6,tcp
1786881294.854,0,,,,710.6,tcp
1786881298.439,0,,,,710.2,tcp
1786881302.063,0,,,,721.2,tcp
1786881305.757,0,,,,735.2,tcp
1786881309.446,0,,,,748.2,tcp
1786881313.164,0,,,,731.6,tcp
1786881316.923,0,,,,747.9,tcp
1786881320.761,0,,,,770.6,tcp
1786881324.621,0,,,,776.0,tcp
1786881328.525,0,,,,774.0,tcp
1786881332.809,0,,,,800.8,tcp
1786881336.773,0,,,,800.2,tcp
1786881340.807,0,,,,814.8,tcp
1786881344.868,0,,,,819.1,tcp
1786881349.020,0,,,,826.6,tcp
1786881353.357,0,,,,853.0,tcp
1786881357.713,0,,,,879.9,tcp
1786881362.018,0,,,,855.4,tcp
1786881366.356,0,,,,872.5,tcp
1786881370.824,0,,,,911.6,tcp
1786881375.470,0,,,,957.7,tcp
1786881380.368,0,,,,957.9,tcp
1786881385.308,0,,,,993.9,tcp
1786881390.228,0,,,,980.7,tcp
1786881395.148,0,,,,973.9,tcp
1786881400.265,0,,,,1062.1,tcp
1786881405.501,0,,,,1048.9,tcp
1786881410.982,0,,,,1124.4,tcp
1786881416.581,0,,,,1101.9,tcp
1786881422.136,0,,,,1176.5,tcp
1786881427.778,0,,,,1150.6,tcp
1786881433.697,0,,,,1202.9,tcp
1786881439.710,0,,,,1200.7,tcp
1786881445.763,0,,,,1201.2,tcp
1786881451.830,0,,,,1207.7,tcp
1786881458.108,0,,,,1262.4,tcp
1786881464.376,0,,,,1244.4,tcp
1786881472.979,0,,,,3600.5,tcp
1786881482.670,0,,,,1336.4,tcp
1786881490.836,0,,,,1357.9,tcp
1786881497.519,0,,,,1356.9,tcp
1786881504.287,0,,,,1375.4,tcp
1786881511.253,0,,,,1460.7,tcp
1786881518.185,0,,,,1342.2,tcp
1786881525.244,0,,,,1374.2,tcp
1786881532.163,0,,,,1344.7,tcp
1786881539.154,0,,,,1388.9,tcp
1786881546.297,0,,,,1390.2,tcp
1786881554.429,0,,,,1662.7,tcp
1786881564.362,0,,,,1475.3,tcp
1786881571.473,0,,,,1439.0,tcp
1786881578.894,0,,,,1493.8,tcp
1786881588.403,0,,,,1620.8,tcp
1786881596.809,0,,,,1646.8,tcp
1786881604.576,0,,,,1423.7,tcp
1786881611.877,0,,,,1475.5,tcp
1786881619.292,0,,,,1457.6,tcp
1786881627.071,0,,,,1498.7,tcp
1786881634.499,0,,,,1490.6,tcp
1786881642.086,0,,,,1535.8,tcp
1786881649.948,0,,,,1655.2,tcp
1786881659.151,0,,,,1936.9,tcp
1786881666.511,0,,,,1376.4,tcp
1786881673.899,0,,,,1552.9,tcp
1786881681.973,0,,,,1479.7,tcp
1786881689.063,0,,,,1439.3,tcp
1786881696.163,0,,,,1451.4,tcp
1786881703.334,0,,,,1414.5,tcp
1786881710.290,0,,,,1357.1,tcp
1786881717.252,0,,,,1357.1,tcp
1786881723.995,0,,,,1317.3,tcp
1786881730.984,0,,,,1388.9,tcp
1786881737.896,0,,,,1330.6,tcp
1786881744.722,0,,,,1301.8,tcp
1786881751.390,0,,,,1344.5,tcp
1786881758.629,0,,,,1308.5,tcp
1786881765.314,0,,,,1318.6,tcp
1786881771.947,0,,,,1291.0,tcp
1786881802.625,0,,,,21542.2,tcp
1786881829.361,0,,,,1732.0,tcp
