timestamp,event,button,delta
1786881805.347,scroll,,1
1786881805.348,scroll,,1
1786881805.576,scroll,,1
1786881806.554,scroll,,-1
1786881806.586,scroll,,-1
1786881806.616,scroll,,-1
1786881806.650,scroll,,-1
1786881806.650,scroll,,-1
1786881806.704,scroll,,-1
1786881806.704,scroll,,-1
1786881807.135,scroll,,-1
1786881807.174,scroll,,-1
1786881807.203,scroll,,-1
1786881807.203,scroll,,-1
1786881807.292,scroll,,-1
1786881807.293,scroll,,-1
1786881807.707,scroll,,-1
1786881807.733,scroll,,-1
1786881807.785,scroll,,-1
1786881807.882,scroll,,-1
1786881807.883,scroll,,-1
1786881808.110,scroll,,-1
1786881808.354,scroll,,1
1786881808.372,scroll,,1
1786881808.416,scroll,,1
1786881808.466,scroll,,1
1786881808.466,scroll,,1
1786881808.587,scroll,,1
1786881808.587,scroll,,1
1786881809.054,scroll,,1
1786881809.104,scroll,,1
1786881809.113,scroll,,1
1786881809.136,scroll,,1
1786881809.262,scroll,,1
1786881809.262,scroll,,1
1786881809.400,scroll,,1
1786881809.518,scroll,,1
1786881811.805,down,right,0
1786881811.902,up,right,0
