timestamp,event,button,delta
1786881776.966,down,right,0
1786881777.041,up,right,0
1786881777.136,down,right,0
1786881777.224,up,right,0
1786881777.279,down,right,0
1786881777.359,up,right,0
1786881777.749,down,right,0
1786881777.825,up,right,0
1786881778.378,down,right,0
1786881778.460,up,right,0
1786881779.251,down,left,0
1786881779.344,up,left,0
1786881780.366,down,left,0
1786881780.975,up,left,0
1786881781.135,down,right,0
1786881781.245,up,right,0
1786881781.600,down,right,0
1786881781.678,up,right,0
1786881782.747,scroll,,-1
1786881782.802,scroll,,-1
1786881782.847,scroll,,-1
1786881782.893,scroll,,-1
1786881782.893,scroll,,-1
1786881783.048,scroll,,1
1786881783.110,scroll,,1
1786881783.230,scroll,,2
1786881783.230,scroll,,1
1786881783.281,scroll,,1
1786881783.447,scroll,,1
1786881783.493,scroll,,-1
1786881783.494,scroll,,-1
1786881783.544,scroll,,-1
1786881783.645,scroll,,-1
1786881783.645,scroll,,-1
1786881783.881,scroll,,-1
1786881784.064,scroll,,-1
1786881784.112,scroll,,-1
1786881784.113,scroll,,-1
1786881784.162,scroll,,-1
1786881784.162,scroll,,-1
1786881784.377,scroll,,1
1786881784.430,scroll,,1
1786881784.431,scroll,,1
1786881784.443,scroll,,1
1786881784.444,scroll,,1
1786881784.723,scroll,,1
1786881784.832,scroll,,-1
1786881784.865,scroll,,-1
1786881784.865,scroll,,-1
1786881784.931,scroll,,-1
1786881784.931,scroll,,-1
1786881785.230,scroll,,-1
1786881788.068,scroll,,-1
1786881788.116,scroll,,-1
1786881788.443,scroll,,-1
1786881788.443,scroll,,-1
1786881788.598,scroll,,-1
1786881788.650,scroll,,-1
1786881788.650,scroll,,-1
1786881788.844,scroll,,-1
1786881788.845,scroll,,-1
1786881789.869,scroll,,-1
1786881789.898,scroll,,-1
1786881790.033,scroll,,-1
1786881790.034,scroll,,-1
1786881790.034,scroll,,-1
1786881790.381,scroll,,-1
1786881790.381,scroll,,-1
1786881790.411,scroll,,1
1786881790.412,scroll,,1
1786881790.452,scroll,,1
1786881790.453,scroll,,1
1786881790.499,scroll,,1
1786881790.499,scroll,,1
1786881790.632,scroll,,1
1786881790.633,scroll,,1
1786881791.233,scroll,,1
1786881791.268,scroll,,1
1786881791.268,scroll,,1
1786881791.299,scroll,,1
1786881791.299,scroll,,2
1786881791.913,scroll,,1
1786881792.334,scroll,,1
1786881792.366,scroll,,1
1786881792.399,scroll,,1
1786881792.399,scroll,,1
1786881792.451,scroll,,1
1786881792.451,scroll,,2
1786881792.469,scroll,,1
1786881792.470,scroll,,1
1786881793.604,down,left,0
1786881794.347,up,left,0
1786881796.051,scroll,,-1
1786881796.070,scroll,,-1
1786881796.101,scroll,,-1
1786881796.135,scroll,,-1
1786881796.135,scroll,,-1
1786881796.304,scroll,,-1
1786881796.807,scroll,,1
1786881796.820,scroll,,2
1786881796.852,scroll,,2
1786881796.978,scroll,,1
1786881797.793,scroll,,-1
1786881797.806,scroll,,-1
1786881797.835,scroll,,-4
1786881797.907,scroll,,-2
1786881798.486,scroll,,1
1786881798.518,scroll,,1
1786881798.675,scroll,,1
1786881798.676,scroll,,3
1786881798.676,scroll,,4
1786881799.314,scroll,,-1
1786881799.327,scroll,,-1
1786881799.347,scroll,,-2
1786881799.381,scroll,,-1
1786881799.381,scroll,,-2
1786881799.444,scroll,,-1
1786881799.904,scroll,,1
1786881799.919,scroll,,1
1786881799.947,scroll,,2
1786881799.980,scroll,,2
1786881799.980,scroll,,1
1786881800.121,scroll,,1
1786881801.007,scroll,,-1
1786881801.023,scroll,,-1
1786881801.072,scroll,,-1
1786881801.073,scroll,,-1
1786881801.213,scroll,,-1
1786881801.213,scroll,,-1
1786881801.789,scroll,,-1
1786881801.822,scroll,,-1
1786881801.882,scroll,,-1
1786881801.957,scroll,,-1
1786881802.454,scroll,,-1
1786881802.487,scroll,,-1
1786881802.543,scroll,,-1
1786881802.607,scroll,,-1
1786881803.011,scroll,,1
1786881803.059,scroll,,1
1786881803.085,scroll,,1
1786881803.086,scroll,,1
1786881803.091,scroll,,1
1786881803.703,scroll,,1
1786881803.736,scroll,,1
1786881803.783,scroll,,1
1786881803.783,scroll,,1
1786881803.819,scroll,,1
1786881803.819,scroll,,1
1786881803.888,scroll,,1
1786881804.436,scroll,,-1
1786881804.453,scroll,,-1
1786881804.507,scroll,,-1
1786881804.541,scroll,,-1
1786881804.542,scroll,,-1
1786881805.236,scroll,,1
1786881805.304,scroll,,1
1786881805.304,scroll,,1
1786881805.304,scroll,,1
