timestamp,markers,ids,x,y,detect_ms,src
1786880066.855,0,,,,35.8,tcp
1786880067.147,0,,,,31.3,tcp
1786880067.503,0,,,,90.1,tcp
1786880067.836,0,,,,32.6,tcp
1786880068.372,0,,,,32.6,tcp
1786880068.482,0,,,,85.6,tcp
1786880068.783,0,,,,33.8,tcp
1786880069.063,0,,,,36.6,tcp
1786880069.323,0,,,,38.7,tcp
1786880069.641,0,,,,48.7,tcp
1786880069.950,0,,,,70.9,tcp
1786880070.256,0,,,,29.1,tcp
1786880070.405,0,,,,36.6,tcp
1786880070.774,0,,,,32.1,tcp
1786880071.092,0,,,,35.3,tcp
1786880071.407,0,,,,55.6,tcp
1786880071.824,0,,,,35.0,tcp
1786880072.044,0,,,,29.1,tcp
1786880072.287,0,,,,36.2,tcp
1786880072.610,0,,,,36.8,tcp
1786880072.883,0,,,,41.9,tcp
1786880073.150,0,,,,34.7,tcp
1786880073.422,0,,,,43.9,tcp
1786880073.735,0,,,,34.6,tcp
1786880074.044,0,,,,33.0,tcp
1786880074.297,0,,,,34.0,tcp
1786880074.590,0,,,,53.8,tcp
1786880074.837,0,,,,39.0,tcp
1786880075.127,0,,,,31.8,tcp
1786880075.367,0,,,,28.7,tcp
1786880075.658,0,,,,33.4,tcp
1786880075.884,0,,,,28.8,tcp
1786880076.128,0,,,,31.7,tcp
1786880076.354,0,,,,33.8,tcp
1786880076.627,0,,,,53.5,tcp
1786880077.346,0,,,,47.2,tcp
1786880077.740,0,,,,52.1,tcp
1786880078.068,0,,,,24.7,tcp
1786880078.303,0,,,,33.6,tcp
1786880078.596,0,,,,40.1,tcp
1786880097.412,0,,,,58.0,tcp
1786880097.882,0,,,,58.2,tcp
1786880098.366,0,,,,48.4,tcp
1786880098.580,0,,,,24.7,tcp
1786880099.112,0,,,,47.4,tcp
1786880099.770,0,,,,50.5,tcp
1786880100.283,0,,,,51.2,tcp
1786880100.872,0,,,,60.5,tcp
1786880101.381,0,,,,47.8,tcp
1786880101.772,0,,,,64.0,tcp
1786880102.181,0,,,,53.9,tcp
1786880102.440,0,,,,38.2,tcp
1786880102.710,0,,,,38.4,tcp
1786880103.010,0,,,,40.3,tcp
1786880103.231,0,,,,35.3,tcp
1786880103.593,0,,,,36.2,tcp
1786880103.823,0,,,,53.7,tcp
