timestamp,markers,x,y
1786866918.354,0,,
1786866920.211,0,,
1786866922.488,4,1032.8,611.8
1786866924.657,0,,
1786866927.028,2,,
1786866929.617,4,1137.7,670.3
1786866931.917,3,,
1786866934.326,2,,
1786866936.752,4,1083.3,653.5
1786866939.248,4,1061.5,637.8
1786866943.281,4,1146.0,724.6
1786866943.973,3,,
1786866946.436,4,886.4,710.7
1786866948.773,2,,
1786866951.178,0,,
1786866953.386,0,,
1786866955.624,0,,
1786866957.822,0,,
1786866960.033,0,,
1786866962.280,0,,
1786866964.571,4,710.3,717.3
1786866967.026,1,,
1786866969.531,2,,
1786866972.042,2,,
1786866974.423,0,,
1786866976.638,0,,
1786866978.869,0,,
1786866981.106,0,,
1786866983.326,0,,
1786866985.549,0,,
1786866987.770,0,,
1786866990.033,0,,
1786866992.216,0,,
1786866994.436,0,,
1786866996.673,0,,
1786866998.900,0,,
1786867001.139,0,,
1786867003.370,0,,
1786867005.609,0,,
1786867008.157,0,,
1786867010.818,0,,
1786867013.425,0,,
1786867015.976,0,,
1786867018.601,0,,
1786867021.164,0,,
1786867023.803,0,,
1786867026.344,0,,
1786867029.103,0,,
1786867047.566,4,1013.0,690.4
1786867048.103,0,,
1786867048.571,3,,
1786867048.963,0,,
1786867049.525,2,,
1786867049.728,0,,
1786867051.348,0,,
1786867053.931,0,,
1786867056.346,0,,
1786867058.948,0,,
1786867061.578,0,,
1786867064.113,0,,
1786867066.667,0,,
1786867069.236,0,,
1786867071.797,0,,
1786867074.333,0,,
1786867076.918,0,,
1786867079.503,0,,
1786867082.095,0,,
1786867084.753,0,,
1786867087.235,0,,
1786867089.828,0,,
1786867092.414,0,,
1786867095.050,0,,
1786867097.574,0,,
1786867100.194,0,,
1786867102.822,0,,
1786867105.395,0,,
1786867107.963,0,,
1786867110.663,0,,
1786867113.257,0,,
1786867115.872,0,,
1786867118.479,0,,
1786867121.109,0,,
1786867123.768,0,,
1786867126.299,0,,
1786867128.888,0,,
1786867131.553,0,,
1786867134.078,0,,
1786867136.673,0,,
1786867139.273,0,,
1786867141.897,0,,
1786867144.489,0,,
1786867147.098,0,,
1786867149.704,0,,
1786867152.341,0,,
1786867154.901,0,,
1786867157.476,0,,
1786867160.076,0,,
1786867162.680,0,,
1786867165.348,0,,
1786867167.945,0,,
1786867170.651,0,,
1786867173.233,0,,
1786867176.008,0,,
1786867178.421,0,,
1786867181.024,0,,
1786867183.625,0,,
1786867186.247,0,,
1786867188.862,0,,
1786867191.493,0,,
1786867194.120,0,,
1786867196.785,0,,
1786867199.391,0,,
1786867202.301,0,,
1786867204.875,0,,
1786867207.469,0,,
1786867210.081,0,,
1786867212.722,0,,
1786867215.351,0,,
1786867217.989,0,,
1786867220.643,0,,
1786867223.255,0,,
1786867225.883,0,,
1786867235.900,0,,
1786867238.344,0,,
1786867240.937,0,,
1786867243.580,0,,
1786867246.141,0,,
1786867248.671,0,,
1786867251.328,0,,
1786867254.027,0,,
1786867256.590,0,,
1786867259.250,0,,
1786867261.892,0,,
1786867264.577,0,,
1786867267.222,0,,
1786867269.952,0,,
1786867272.838,0,,
1786867275.548,0,,
1786867278.238,0,,
1786867280.926,0,,
1786867283.640,0,,
1786867286.352,0,,
1786867289.027,0,,
1786867291.725,0,,
1786867294.456,0,,
1786867297.177,0,,
1786867299.844,0,,
1786867302.546,0,,
1786867305.254,0,,
1786867307.966,0,,
1786867310.734,0,,
1786867313.448,0,,
1786867316.286,0,,
1786867318.921,0,,
1786867321.645,0,,
1786867324.460,0,,
1786867327.153,0,,
1786867329.894,0,,
1786867332.664,0,,
1786867336.454,0,,
1786867339.171,0,,
1786867341.936,0,,
1786867344.639,0,,
1786867347.310,0,,
1786867350.055,0,,
1786867352.791,0,,
1786867355.502,0,,
1786867358.262,0,,
1786867360.977,0,,
1786867363.689,0,,
1786867366.409,0,,
1786867369.126,0,,
1786867371.846,0,,
1786867374.562,0,,
1786867377.382,0,,
1786867380.824,0,,
1786867385.172,0,,
1786867387.841,0,,
1786867390.515,0,,
1786867394.483,0,,
1786867397.075,0,,
1786867399.717,0,,
1786867402.394,0,,
1786867405.076,0,,
1786867407.800,0,,
1786867410.640,0,,
1786867415.008,0,,
1786867418.266,0,,
1786867420.840,0,,
1786867423.668,0,,
1786867426.368,0,,
1786867429.134,0,,
1786867431.938,0,,
1786867434.711,0,,
1786867437.438,0,,
1786867440.285,0,,
1786867443.130,0,,
1786867446.931,0,,
1786867449.642,0,,
1786867452.403,0,,
1786867455.178,0,,
1786867458.686,4,704.8,526.1
