timestamp,markers,ids,x,y,detect_ms,src
1786880449.455,0,,,,26.4,tcp
1786880449.653,0,,,,28.9,tcp
1786880449.806,0,,,,22.9,tcp
1786880449.960,0,,,,15.2,tcp
1786880450.138,0,,,,16.3,tcp
1786880450.713,0,,,,21.1,tcp
1786880450.739,0,,,,30.6,tcp
1786880450.878,0,,,,24.1,tcp
1786880451.063,0,,,,21.4,tcp
1786880451.192,0,,,,15.1,tcp
1786880451.361,0,,,,19.1,tcp
1786880451.529,0,,,,15.5,tcp
1786880451.693,0,,,,14.9,tcp
1786880451.859,0,,,,14.9,tcp
1786880452.029,0,,,,15.4,tcp
1786880452.197,0,,,,15.0,tcp
1786880452.363,0,,,,15.1,tcp
1786880452.565,0,,,,21.4,tcp
1786880452.697,0,,,,15.4,tcp
1786880452.864,0,,,,15.0,tcp
1786880453.048,0,,,,16.2,tcp
1786880453.194,0,,,,14.9,tcp
1786880453.361,0,,,,15.2,tcp
1786880453.540,0,,,,15.8,tcp
1786880453.960,0,,,,15.5,tcp
1786880453.971,0,,,,15.0,tcp
1786880454.045,0,,,,15.5,tcp
1786880454.200,0,,,,14.9,tcp
1786880454.404,0,,,,19.3,tcp
1786880454.536,0,,,,16.9,tcp
1786880454.691,0,,,,15.7,tcp
1786880454.859,0,,,,16.2,tcp
1786880455.028,0,,,,15.8,tcp
1786880455.192,0,,,,14.9,tcp
1786880455.355,0,,,,15.3,tcp
1786880455.541,0,,,,15.7,tcp
1786880455.690,0,,,,14.8,tcp
1786880455.882,0,,,,15.0,tcp
1786880456.027,0,,,,15.5,tcp
1786880456.191,0,,,,14.9,tcp
1786880456.358,0,,,,14.8,tcp
1786880456.636,0,,,,15.5,tcp
1786880456.697,0,,,,17.8,tcp
1786880456.858,0,,,,14.9,tcp
1786880457.025,0,,,,15.4,tcp
1786880457.191,0,,,,15.9,tcp
1786880457.358,0,,,,14.8,tcp
1786880457.525,0,,,,15.1,tcp
1786880457.689,0,,,,15.1,tcp
